cdp,cdpx,cdpy
77,119.86145475,22.66424275
78,119.861475625,22.664225125
79,119.8614965,22.6642075
80,119.861517375,22.664189875
81,119.86153825,22.66417225
82,119.861559125,22.664154625
83,119.86158,22.664137
84,119.861600875,22.664117
85,119.86162175,22.664097
86,119.861642625,22.664077
87,119.8616635,22.664057
88,119.861684375,22.664037
89,119.86170525,22.664017
90,119.861726125,22.663997
91,119.861747,22.663977
92,119.861769875,22.6639545
93,119.86179275,22.663932
94,119.861815625,22.6639095
95,119.8618385,22.663887
96,119.861861375,22.6638645
97,119.86188425,22.663842
98,119.861907125,22.6638195
99,119.86193,22.663797
100,119.861950875,22.6637805
101,119.86197175,22.663764
102,119.861992625,22.6637475
103,119.8620135,22.663731
104,119.862034375,22.6637145
105,119.86205525,22.663698
106,119.862076125,22.6636815
107,119.862097,22.663665
108,119.862119625,22.663646875
109,119.86214225,22.66362875
110,119.862164875,22.663610625
111,119.8621875,22.6635925
112,119.862210125,22.663574375
113,119.86223275,22.66355625
114,119.862255375,22.663538125
115,119.862278,22.66352
116,119.86230075,22.66350125
117,119.8623235,22.6634825
118,119.86234625,22.66346375
119,119.862369,22.663445
120,119.86239175,22.66342625
121,119.8624145,22.6634075
122,119.86243725,22.66338875
123,119.86246,22.66337
124,119.862482125,22.6633515
125,119.86250425,22.663333
126,119.862526375,22.6633145
127,119.8625485,22.663296
128,119.862570625,22.6632775
129,119.86259275,22.663259
130,119.862614875,22.6632405
131,119.862637,22.663222
132,119.862662125,22.663205875
133,119.86268725,22.66318975
134,119.862712375,22.663173625
135,119.8627375,22.6631575
136,119.862762625,22.663141375
137,119.86278775,22.66312525
138,119.862812875,22.663109125
139,119.862838,22.663093
140,119.86286175,22.66307575
141,119.8628855,22.6630585
142,119.86290925,22.66304125
143,119.862933,22.663024
144,119.86295675,22.66300675
145,119.8629805,22.6629895
146,119.86300425,22.66297225
147,119.863028,22.662955
148,119.863051375,22.662938125
149,119.86307475,22.66292125
150,119.863098125,22.662904375
151,119.8631215,22.6628875
152,119.863144875,22.662870625
153,119.86316825,22.66285375
154,119.863191625,22.662836875
155,119.863215,22.66282
156,119.863236,22.662805375
157,119.863257,22.66279075
158,119.863278,22.662776125
159,119.863299,22.6627615
160,119.86332,22.662746875
161,119.863341,22.66273225
162,119.863362,22.662717625
163,119.863383,22.662703
164,119.8634055,22.662689125
165,119.863428,22.66267525
166,119.8634505,22.662661375
167,119.863473,22.6626475
168,119.8634955,22.662633625
169,119.863518,22.66261975
170,119.8635405,22.662605875
171,119.863563,22.662592
172,119.86358725,22.662578625
173,119.8636115,22.66256525
174,119.86363575,22.662551875
175,119.86366,22.6625385
176,119.86368425,22.662525125
177,119.8637085,22.66251175
178,119.86373275,22.662498375
179,119.863757,22.662485
180,119.863778875,22.66246875
181,119.86380075,22.6624525
182,119.863822625,22.66243625
183,119.8638445,22.66242
184,119.863866375,22.66240375
185,119.86388825,22.6623875
186,119.863910125,22.66237125
187,119.863932,22.662355
188,119.863955125,22.662339375
189,119.86397825,22.66232375
190,119.864001375,22.662308125
191,119.8640245,22.6622925
